TimestampFrom,TimestampTo,Demand,PricePerUnit
8/11/2024 0:00,8/11/2024 1:00,1.79,752.03
8/11/2024 1:00,8/11/2024 2:00,1.85,691.05
8/11/2024 2:00,8/11/2024 3:00,1.76,674.78
8/11/2024 3:00,8/11/2024 4:00,1.67,652.95
8/11/2024 4:00,8/11/2024 5:00,1.73,666.30
8/11/2024 5:00,8/11/2024 6:00,1.79,654.60
8/11/2024 6:00,8/11/2024 7:00,1.82,637.05
8/11/2024 7:00,8/11/2024 8:00,1.81,639.45
8/11/2024 8:00,8/11/2024 9:00,1.84,628.28
8/11/2024 9:00,8/11/2024 10:00,1.88,570.30
8/11/2024 10:00,8/11/2024 11:00,2.00,456.75
8/11/2024 11:00,8/11/2024 12:00,1.86,347.40
8/11/2024 12:00,8/11/2024 13:00,1.78,264.15
8/11/2024 13:00,8/11/2024 14:00,1.60,125.33
8/11/2024 14:00,8/11/2024 15:00,1.57,125.48
8/11/2024 15:00,8/11/2024 16:00,1.55,300.00
8/11/2024 16:00,8/11/2024 17:00,1.57,456.75
8/11/2024 17:00,8/11/2024 18:00,1.53,625.50
8/11/2024 18:00,8/11/2024 19:00,1.52,804.75
8/11/2024 19:00,8/11/2024 20:00,1.50,907.50
8/11/2024 20:00,8/11/2024 21:00,1.50,965.70
8/11/2024 21:00,8/11/2024 22:00,1.48,996.45
8/11/2024 22:00,8/11/2024 23:00,1.51,972.90
8/11/2024 23:00,8/12/2024 0:00,1.55,869.40
8/12/2024 0:00,8/12/2024 1:00,1.54,820.80
8/12/2024 1:00,8/12/2024 2:00,1.47,763.05
8/12/2024 2:00,8/12/2024 3:00,1.41,763.65
8/12/2024 3:00,8/12/2024 4:00,1.43,715.80
8/12/2024 4:00,8/12/2024 5:00,1.43,718.43
8/12/2024 5:00,8/12/2024 6:00,1.45,726.90
8/12/2024 6:00,8/12/2024 7:00,1.47,710.10
8/12/2024 7:00,8/12/2024 8:00,1.50,684.00
8/12/2024 8:00,8/12/2024 9:00,1.62,646.80
8/12/2024 9:00,8/12/2024 10:00,1.70,578.33
8/12/2024 10:00,8/12/2024 11:00,1.74,450.90
8/12/2024 11:00,8/12/2024 12:00,1.68,375.90
8/12/2024 12:00,8/12/2024 13:00,1.58,342.68
8/12/2024 13:00,8/12/2024 14:00,1.45,277.43
8/12/2024 14:00,8/12/2024 15:00,1.43,336.38
8/12/2024 15:00,8/12/2024 16:00,1.42,413.63
8/12/2024 16:00,8/12/2024 17:00,1.47,547.35
8/12/2024 17:00,8/12/2024 18:00,1.46,618.00
8/12/2024 18:00,8/12/2024 19:00,1.50,783.08
8/12/2024 19:00,8/12/2024 20:00,1.50,916.58
8/12/2024 20:00,8/12/2024 21:00,1.44,990.00
8/12/2024 21:00,8/12/2024 22:00,1.45,1005.75
8/12/2024 22:00,8/12/2024 23:00,1.44,990.90
8/12/2024 23:00,8/13/2024 0:00,1.47,897.00
8/13/2024 0:00,8/13/2024 1:00,1.40,843.68
8/13/2024 1:00,8/13/2024 2:00,1.32,765.00
8/13/2024 2:00,8/13/2024 3:00,1.28,707.25
8/13/2024 3:00,8/13/2024 4:00,1.33,689.55
8/13/2024 4:00,8/13/2024 5:00,1.35,699.83
8/13/2024 5:00,8/13/2024 6:00,1.35,788.55
8/13/2024 6:00,8/13/2024 7:00,1.42,912.53
8/13/2024 7:00,8/13/2024 8:00,1.49,995.85
8/13/2024 8:00,8/13/2024 9:00,1.55,1007.03
8/13/2024 9:00,8/13/2024 10:00,1.58,884.63
8/13/2024 10:00,8/13/2024 11:00,1.68,789.60
8/13/2024 11:00,8/13/2024 12:00,1.73,712.43
8/13/2024 12:00,8/13/2024 13:00,1.68,669.23
8/13/2024 13:00,8/13/2024 14:00,1.62,601.20
8/13/2024 14:00,8/13/2024 15:00,1.51,483.53
8/13/2024 15:00,8/13/2024 16:00,1.53,463.58
8/13/2024 16:00,8/13/2024 17:00,1.46,472.05
8/13/2024 17:00,8/13/2024 18:00,1.51,602.70
8/13/2024 18:00,8/13/2024 19:00,1.55,914.78
8/13/2024 19:00,8/13/2024 20:00,1.53,1241.18
8/13/2024 20:00,8/13/2024 21:00,1.50,1319.18
8/13/2024 21:00,8/13/2024 22:00,1.49,1350.53
8/13/2024 22:00,8/13/2024 23:00,1.47,1221.90
8/13/2024 23:00,8/14/2024 0:00,1.57,1002.75
8/14/2024 0:00,8/14/2024 1:00,1.53,933.08
8/14/2024 1:00,8/14/2024 2:00,1.54,868.05
8/14/2024 2:00,8/14/2024 3:00,1.42,789.68
8/14/2024 3:00,8/14/2024 4:00,1.46,755.10
8/14/2024 4:00,8/14/2024 5:00,1.48,747.75
8/14/2024 5:00,8/14/2024 6:00,1.56,845.55
8/14/2024 6:00,8/14/2024 7:00,1.60,926.63
8/14/2024 7:00,8/14/2024 8:00,1.68,940.43
8/14/2024 8:00,8/14/2024 9:00,1.80,907.13
8/14/2024 9:00,8/14/2024 10:00,1.78,788.25
8/14/2024 10:00,8/14/2024 11:00,1.83,686.78
8/14/2024 11:00,8/14/2024 12:00,1.92,489.38
8/14/2024 12:00,8/14/2024 13:00,1.93,422.85
8/14/2024 13:00,8/14/2024 14:00,1.91,347.93
8/14/2024 14:00,8/14/2024 15:00,1.72,355.43
8/14/2024 15:00,8/14/2024 16:00,1.64,434.10
8/14/2024 16:00,8/14/2024 17:00,1.59,510.00
8/14/2024 17:00,8/14/2024 18:00,1.53,698.40
8/14/2024 18:00,8/14/2024 19:00,1.61,855.00
8/14/2024 19:00,8/14/2024 20:00,1.69,1061.63
8/14/2024 20:00,8/14/2024 21:00,1.65,1200.15
8/14/2024 21:00,8/14/2024 22:00,1.62,1005.68
8/14/2024 22:00,8/14/2024 23:00,1.56,892.50
8/14/2024 23:00,8/15/2024 0:00,1.62,772.73
8/15/2024 0:00,8/15/2024 1:00,1.70,738.53
8/15/2024 1:00,8/15/2024 2:00,1.66,682.50
8/15/2024 2:00,8/15/2024 3:00,1.62,675.00
8/15/2024 3:00,8/15/2024 4:00,1.55,615.68
8/15/2024 4:00,8/15/2024 5:00,1.58,580.50
8/15/2024 5:00,8/15/2024 6:00,1.61,570.00
8/15/2024 6:00,8/15/2024 7:00,1.66,661.65
8/15/2024 7:00,8/15/2024 8:00,1.75,865.50
8/15/2024 8:00,8/15/2024 9:00,1.78,900.00
8/15/2024 9:00,8/15/2024 10:00,1.76,767.48
8/15/2024 10:00,8/15/2024 11:00,1.76,622.50
8/15/2024 11:00,8/15/2024 12:00,1.94,380.78
8/15/2024 12:00,8/15/2024 13:00,1.86,119.03
8/15/2024 13:00,8/15/2024 14:00,1.79,96.90
8/15/2024 14:00,8/15/2024 15:00,1.62,144.98
8/15/2024 15:00,8/15/2024 16:00,1.55,202.73
8/15/2024 16:00,8/15/2024 17:00,1.55,221.18
8/15/2024 17:00,8/15/2024 18:00,1.53,328.65
8/15/2024 18:00,8/15/2024 19:00,1.56,375.45
8/15/2024 19:00,8/15/2024 20:00,1.59,601.95
8/15/2024 20:00,8/15/2024 21:00,1.61,1043.25
8/15/2024 21:00,8/15/2024 22:00,1.61,939.00
8/15/2024 22:00,8/15/2024 23:00,1.67,945.08
8/15/2024 23:00,8/16/2024 0:00,1.66,854.33
8/16/2024 0:00,8/16/2024 1:00,1.67,786.90
8/16/2024 1:00,8/16/2024 2:00,1.65,642.45
8/16/2024 2:00,8/16/2024 3:00,1.60,592.50
8/16/2024 3:00,8/16/2024 4:00,1.55,563.18
8/16/2024 4:00,8/16/2024 5:00,1.60,570.00
8/16/2024 5:00,8/16/2024 6:00,1.68,663.83
8/16/2024 6:00,8/16/2024 7:00,1.71,766.73
8/16/2024 7:00,8/16/2024 8:00,1.78,828.53
8/16/2024 8:00,8/16/2024 9:00,2.04,893.25
8/16/2024 9:00,8/16/2024 10:00,2.02,652.20
8/16/2024 10:00,8/16/2024 11:00,1.80,365.78
8/16/2024 11:00,8/16/2024 12:00,1.73,356.93
8/16/2024 12:00,8/16/2024 13:00,1.72,370.43
8/16/2024 13:00,8/16/2024 14:00,1.62,348.75
8/16/2024 14:00,8/16/2024 15:00,1.62,348.75
8/16/2024 15:00,8/16/2024 16:00,1.67,350.63
8/16/2024 16:00,8/16/2024 17:00,1.61,338.03
8/16/2024 17:00,8/16/2024 18:00,1.65,351.98
8/16/2024 18:00,8/16/2024 19:00,1.65,417.68
8/16/2024 19:00,8/16/2024 20:00,1.67,867.23
8/16/2024 20:00,8/16/2024 21:00,1.68,981.45
8/16/2024 21:00,8/16/2024 22:00,1.62,1034.18
8/16/2024 22:00,8/16/2024 23:00,1.61,972.53
8/16/2024 23:00,8/17/2024 0:00,1.70,882.90
8/17/2024 0:00,8/17/2024 1:00,1.71,757.50
8/17/2024 1:00,8/17/2024 2:00,1.75,722.70
8/17/2024 2:00,8/17/2024 3:00,1.66,634.13
8/17/2024 3:00,8/17/2024 4:00,1.64,626.85
8/17/2024 4:00,8/17/2024 5:00,1.70,700.13
8/17/2024 5:00,8/17/2024 6:00,1.78,745.13
8/17/2024 6:00,8/17/2024 7:00,1.80,855.00
8/17/2024 7:00,8/17/2024 8:00,1.78,855.00
8/17/2024 8:00,8/17/2024 9:00,1.82,778.20
8/17/2024 9:00,8/17/2024 10:00,1.90,638.03
8/17/2024 10:00,8/17/2024 11:00,1.86,597.83
8/17/2024 11:00,8/17/2024 12:00,1.88,572.93
8/17/2024 12:00,8/17/2024 13:00,1.83,553.50
8/17/2024 13:00,8/17/2024 14:00,1.76,523.88
8/17/2024 14:00,8/17/2024 15:00,1.63,563.48
8/17/2024 15:00,8/17/2024 16:00,1.57,582.75
8/17/2024 16:00,8/17/2024 17:00,1.55,581.63
8/17/2024 17:00,8/17/2024 18:00,1.54,730.95
8/17/2024 18:00,8/17/2024 19:00,1.56,864.38
8/17/2024 19:00,8/17/2024 20:00,1.56,1051.43
8/17/2024 20:00,8/17/2024 21:00,1.59,1049.40
8/17/2024 21:00,8/17/2024 22:00,1.57,929.40
8/17/2024 22:00,8/17/2024 23:00,1.55,714.38
8/17/2024 23:00,8/18/2024 0:00,1.62,607.05
8/18/2024 0:00,8/18/2024 1:00,1.79,752.03
8/18/2024 1:00,8/18/2024 2:00,1.85,691.05
8/18/2024 2:00,8/18/2024 3:00,1.76,674.78
8/18/2024 3:00,8/18/2024 4:00,1.67,652.95
8/18/2024 4:00,8/18/2024 5:00,1.73,666.30
8/18/2024 5:00,8/18/2024 6:00,1.79,654.60
8/18/2024 6:00,8/18/2024 7:00,1.82,637.05
8/18/2024 7:00,8/18/2024 8:00,1.81,639.45
8/18/2024 8:00,8/18/2024 9:00,1.84,628.28
8/18/2024 9:00,8/18/2024 10:00,1.88,570.30
8/18/2024 10:00,8/18/2024 11:00,2.00,456.75
8/18/2024 11:00,8/18/2024 12:00,1.86,347.40
8/18/2024 12:00,8/18/2024 13:00,1.78,264.15
8/18/2024 13:00,8/18/2024 14:00,1.60,125.33
8/18/2024 14:00,8/18/2024 15:00,1.57,125.48
8/18/2024 15:00,8/18/2024 16:00,1.55,300.00
8/18/2024 16:00,8/18/2024 17:00,1.57,456.75
8/18/2024 17:00,8/18/2024 18:00,1.53,625.50
8/18/2024 18:00,8/18/2024 19:00,1.52,804.75
8/18/2024 19:00,8/18/2024 20:00,1.50,907.50
8/18/2024 20:00,8/18/2024 21:00,1.50,965.70
8/18/2024 21:00,8/18/2024 22:00,1.48,996.45
8/18/2024 22:00,8/18/2024 23:00,1.51,972.90
8/18/2024 23:00,8/19/2024 0:00,1.55,869.40
8/19/2024 0:00,8/19/2024 1:00,1.54,820.80
8/19/2024 1:00,8/19/2024 2:00,1.47,763.05
8/19/2024 2:00,8/19/2024 3:00,1.41,763.65
8/19/2024 3:00,8/19/2024 4:00,1.43,715.80
8/19/2024 4:00,8/19/2024 5:00,1.43,718.43
8/19/2024 5:00,8/19/2024 6:00,1.45,726.90
8/19/2024 6:00,8/19/2024 7:00,1.47,710.10
8/19/2024 7:00,8/19/2024 8:00,1.50,684.00
8/19/2024 8:00,8/19/2024 9:00,1.62,646.80
8/19/2024 9:00,8/19/2024 10:00,1.70,578.33
8/19/2024 10:00,8/19/2024 11:00,1.74,450.90
8/19/2024 11:00,8/19/2024 12:00,1.68,375.90
8/19/2024 12:00,8/19/2024 13:00,1.58,342.68
8/19/2024 13:00,8/19/2024 14:00,1.45,277.43
8/19/2024 14:00,8/19/2024 15:00,1.43,336.38
8/19/2024 15:00,8/19/2024 16:00,1.42,413.63
8/19/2024 16:00,8/19/2024 17:00,1.47,547.35
8/19/2024 17:00,8/19/2024 18:00,1.46,618.00
8/19/2024 18:00,8/19/2024 19:00,1.50,783.08
8/19/2024 19:00,8/19/2024 20:00,1.50,916.58
8/19/2024 20:00,8/19/2024 21:00,1.44,990.00
8/19/2024 21:00,8/19/2024 22:00,1.45,1005.75
8/19/2024 22:00,8/19/2024 23:00,1.44,990.90
8/19/2024 23:00,8/20/2024 0:00,1.47,897.00
8/20/2024 0:00,8/20/2024 1:00,1.40,843.68
8/20/2024 1:00,8/20/2024 2:00,1.32,765.00
8/20/2024 2:00,8/20/2024 3:00,1.28,707.25
8/20/2024 3:00,8/20/2024 4:00,1.33,689.55
8/20/2024 4:00,8/20/2024 5:00,1.35,699.83
8/20/2024 5:00,8/20/2024 6:00,1.35,788.55
8/20/2024 6:00,8/20/2024 7:00,1.42,912.53
8/20/2024 7:00,8/20/2024 8:00,1.49,995.85
8/20/2024 8:00,8/20/2024 9:00,1.55,1007.03
8/20/2024 9:00,8/20/2024 10:00,1.58,884.63
8/20/2024 10:00,8/20/2024 11:00,1.68,789.60
8/20/2024 11:00,8/20/2024 12:00,1.73,712.43
8/20/2024 12:00,8/20/2024 13:00,1.68,669.23
8/20/2024 13:00,8/20/2024 14:00,1.62,601.20
8/20/2024 14:00,8/20/2024 15:00,1.51,483.53
8/20/2024 15:00,8/20/2024 16:00,1.53,463.58
8/20/2024 16:00,8/20/2024 17:00,1.46,472.05
8/20/2024 17:00,8/20/2024 18:00,1.51,602.70
8/20/2024 18:00,8/20/2024 19:00,1.55,914.78
8/20/2024 19:00,8/20/2024 20:00,1.53,1241.18
8/20/2024 20:00,8/20/2024 21:00,1.50,1319.18
8/20/2024 21:00,8/20/2024 22:00,1.49,1350.53
8/20/2024 22:00,8/20/2024 23:00,1.47,1221.90
8/20/2024 23:00,8/21/2024 0:00,1.57,1002.75
8/21/2024 0:00,8/21/2024 1:00,1.53,933.08
8/21/2024 1:00,8/21/2024 2:00,1.54,868.05
8/21/2024 2:00,8/21/2024 3:00,1.42,789.68
8/21/2024 3:00,8/21/2024 4:00,1.46,755.10
8/21/2024 4:00,8/21/2024 5:00,1.48,747.75
8/21/2024 5:00,8/21/2024 6:00,1.56,845.55
8/21/2024 6:00,8/21/2024 7:00,1.60,926.63
8/21/2024 7:00,8/21/2024 8:00,1.68,940.43
8/21/2024 8:00,8/21/2024 9:00,1.80,907.13
8/21/2024 9:00,8/21/2024 10:00,1.78,788.25
8/21/2024 10:00,8/21/2024 11:00,1.83,686.78
8/21/2024 11:00,8/21/2024 12:00,1.92,489.38
8/21/2024 12:00,8/21/2024 13:00,1.93,422.85
8/21/2024 13:00,8/21/2024 14:00,1.91,347.93
8/21/2024 14:00,8/21/2024 15:00,1.72,355.43
8/21/2024 15:00,8/21/2024 16:00,1.64,434.10
8/21/2024 16:00,8/21/2024 17:00,1.59,510.00
8/21/2024 17:00,8/21/2024 18:00,1.53,698.40
8/21/2024 18:00,8/21/2024 19:00,1.61,855.00
8/21/2024 19:00,8/21/2024 20:00,1.69,1061.63
8/21/2024 20:00,8/21/2024 21:00,1.65,1200.15
8/21/2024 21:00,8/21/2024 22:00,1.62,1005.68
8/21/2024 22:00,8/21/2024 23:00,1.56,892.50
8/21/2024 23:00,8/22/2024 0:00,1.62,772.73
8/22/2024 0:00,8/22/2024 1:00,1.70,738.53
8/22/2024 1:00,8/22/2024 2:00,1.66,682.50
8/22/2024 2:00,8/22/2024 3:00,1.62,675.00
8/22/2024 3:00,8/22/2024 4:00,1.55,615.68
8/22/2024 4:00,8/22/2024 5:00,1.58,580.50
8/22/2024 5:00,8/22/2024 6:00,1.61,570.00
8/22/2024 6:00,8/22/2024 7:00,1.66,661.65
8/22/2024 7:00,8/22/2024 8:00,1.75,865.50
8/22/2024 8:00,8/22/2024 9:00,1.78,900.00
8/22/2024 9:00,8/22/2024 10:00,1.76,767.48
8/22/2024 10:00,8/22/2024 11:00,1.76,622.50
8/22/2024 11:00,8/22/2024 12:00,1.94,380.78
8/22/2024 12:00,8/22/2024 13:00,1.86,119.03
8/22/2024 13:00,8/22/2024 14:00,1.79,96.90
8/22/2024 14:00,8/22/2024 15:00,1.62,144.98
8/22/2024 15:00,8/22/2024 16:00,1.55,202.73
8/22/2024 16:00,8/22/2024 17:00,1.55,221.18
8/22/2024 17:00,8/22/2024 18:00,1.53,328.65
8/22/2024 18:00,8/22/2024 19:00,1.56,375.45
8/22/2024 19:00,8/22/2024 20:00,1.59,601.95
8/22/2024 20:00,8/22/2024 21:00,1.61,1043.25
8/22/2024 21:00,8/22/2024 22:00,1.61,939.00
8/22/2024 22:00,8/22/2024 23:00,1.67,945.08
8/22/2024 23:00,8/23/2024 0:00,1.66,854.33
8/23/2024 0:00,8/23/2024 1:00,1.67,786.90
8/23/2024 1:00,8/23/2024 2:00,1.65,642.45
8/23/2024 2:00,8/23/2024 3:00,1.60,592.50
8/23/2024 3:00,8/23/2024 4:00,1.55,563.18
8/23/2024 4:00,8/23/2024 5:00,1.60,570.00
8/23/2024 5:00,8/23/2024 6:00,1.68,663.83
8/23/2024 6:00,8/23/2024 7:00,1.71,766.73
8/23/2024 7:00,8/23/2024 8:00,1.78,828.53
8/23/2024 8:00,8/23/2024 9:00,2.04,893.25
8/23/2024 9:00,8/23/2024 10:00,2.02,652.20
8/23/2024 10:00,8/23/2024 11:00,1.80,365.78
8/23/2024 11:00,8/23/2024 12:00,1.73,356.93
8/23/2024 12:00,8/23/2024 13:00,1.72,370.43
8/23/2024 13:00,8/23/2024 14:00,1.62,348.75
8/23/2024 14:00,8/23/2024 15:00,1.62,348.75
8/23/2024 15:00,8/23/2024 16:00,1.67,350.63
8/23/2024 16:00,8/23/2024 17:00,1.61,338.03
8/23/2024 17:00,8/23/2024 18:00,1.65,351.98
8/23/2024 18:00,8/23/2024 19:00,1.65,417.68
8/23/2024 19:00,8/23/2024 20:00,1.67,867.23
8/23/2024 20:00,8/23/2024 21:00,1.68,981.45
8/23/2024 21:00,8/23/2024 22:00,1.62,1034.18
8/23/2024 22:00,8/23/2024 23:00,1.61,972.53
8/23/2024 23:00,8/24/2024 0:00,1.70,882.90
8/24/2024 0:00,8/24/2024 1:00,1.71,757.50
8/24/2024 1:00,8/24/2024 2:00,1.75,722.70
8/24/2024 2:00,8/24/2024 3:00,1.66,634.13
8/24/2024 3:00,8/24/2024 4:00,1.64,626.85
8/24/2024 4:00,8/24/2024 5:00,1.70,700.13
8/24/2024 5:00,8/24/2024 6:00,1.78,745.13
8/24/2024 6:00,8/24/2024 7:00,1.80,855.00
8/24/2024 7:00,8/24/2024 8:00,1.78,855.00
8/24/2024 8:00,8/24/2024 9:00,1.82,778.20
8/24/2024 9:00,8/24/2024 10:00,1.90,638.03
8/24/2024 10:00,8/24/2024 11:00,1.86,597.83
8/24/2024 11:00,8/24/2024 12:00,1.88,572.93
8/24/2024 12:00,8/24/2024 13:00,1.83,553.50
8/24/2024 13:00,8/24/2024 14:00,1.76,523.88
8/24/2024 14:00,8/24/2024 15:00,1.63,563.48
8/24/2024 15:00,8/24/2024 16:00,1.57,582.75
8/24/2024 16:00,8/24/2024 17:00,1.55,581.63
8/24/2024 17:00,8/24/2024 18:00,1.54,730.95
8/24/2024 18:00,8/24/2024 19:00,1.56,864.38
8/24/2024 19:00,8/24/2024 20:00,1.56,1051.43
8/24/2024 20:00,8/24/2024 21:00,1.59,1049.40
8/24/2024 21:00,8/24/2024 22:00,1.57,929.40
8/24/2024 22:00,8/24/2024 23:00,1.55,714.38
8/24/2024 23:00,8/25/2024 0:00,1.62,607.05
